LATDD83,LONGDD83,Month,Day,FIREYEAR,OWNERAGENCY,PROTECTIONAGENCY,PERIMEXISTS_N,PERIMEXISTS_Y,FIRERPTQC_no,FIRERPTQC_yes,STATCAUSE,TOTALACRES,sizeclass,cluster,cluster_label
38.49167,-119.35,3,21,1996,12,12,True,False,True,False,1,0.1,A,0,High-Risk Large Fires
35.27001,-111.76072,10,5,1997,12,12,True,False,True,False,1,0.1,A,0,High-Risk Large Fires
33.54038,-115.93556,6,9,2014,9,9,True,False,True,False,12,0.1,A,4,Urban Wildfires
34.15417,-109.9472,7,16,2011,12,12,True,False,True,False,1,0.1,A,0,High-Risk Large Fires
36.84611,-121.68194,10,25,2003,9,9,True,False,True,False,3,0.3,B,0,High-Risk Large Fires
37.07611,-119.64889,7,11,1993,9,9,True,False,True,False,11,612.0,E,4,Urban Wildfires
40.41662,-111.06732,7,30,1989,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
36.67093,-107.26035,5,30,1989,12,12,False,True,True,False,6,605.0,E,2,High-Risk Large Fires
32.94646,-105.76109,6,27,1998,12,12,True,False,True,False,11,0.1,A,4,Urban Wildfires
40.7027,-122.84985,7,19,2013,9,9,True,False,True,False,12,0.1,A,4,Urban Wildfires
38.87742,-121.00415,9,11,2009,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
33.03358,-117.18498,9,23,2011,9,9,True,False,True,False,12,0.2,A,4,Urban Wildfires
35.50611,-120.52389,12,5,1999,9,9,True,False,True,False,3,1.0,B,0,High-Risk Large Fires
39.25861,-120.41861,8,19,2016,12,12,True,False,False,True,6,0.69,B,1,Remote Small Fires
33.59564,-117.10465,8,27,2010,9,9,True,False,True,False,8,0.01,A,4,High-Risk Large Fires
47.60306,-113.61694,8,5,2014,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
40.1833,-107.4667,8,24,1994,12,12,True,False,True,False,6,1.0,B,0,High-Risk Large Fires
43.88333,-118.76667,7,24,1987,12,12,True,False,False,True,6,0.5,B,1,Remote Small Fires
38.78167,-112.37528,7,22,2009,12,12,True,False,False,True,6,0.1,A,1,High-Risk Large Fires
48.66306,-117.45139,8,1,2018,12,12,True,False,False,True,4,0.01,A,1,Remote Small Fires
33.85194,-117.27,8,30,2005,9,9,True,False,True,False,3,5.0,B,0,High-Risk Large Fires
45.4665,-121.46785,7,30,1990,12,12,True,False,True,False,6,0.2,A,0,Remote Small Fires
38.90525,-120.85806,9,4,2005,9,9,True,False,True,False,4,0.1,A,0,High-Risk Large Fires
41.5207,-123.997,10,5,1999,9,9,True,False,True,False,3,1.0,B,0,Remote Small Fires
36.38889,-119.21694,6,13,2007,9,9,True,False,True,False,3,0.1,A,0,High-Risk Large Fires
45.67944,-88.67194,9,16,1998,12,12,True,False,True,False,3,11.9,C,0,Frequent Small Fires
41.0499,-123.7012,11,7,1995,0,0,True,False,True,False,0,0.1,A,3,Remote Small Fires
33.77334,-117.39506,2,14,2006,9,9,True,False,True,False,0,2.0,B,0,High-Risk Large Fires
40.86917,-121.31806,7,5,2000,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
33.60839,-108.74062,5,20,1995,12,12,True,False,True,False,0,0.1,A,0,High-Risk Large Fires
45.8015,-121.9262,5,17,1986,9,12,True,False,True,False,12,0.25,A,4,Urban Wildfires
41.35698,-122.87931,8,17,2005,9,9,True,False,True,False,12,3.0,B,4,Urban Wildfires
43.56851,-85.70938,7,29,2020,9,9,True,False,False,True,3,0.5,B,1,Frequent Small Fires
41.68444,-122.11722,6,27,2006,12,12,True,False,True,False,6,0.25,A,0,Remote Small Fires
43.41833,-109.62333,8,18,1986,12,12,True,False,False,True,1,8.0,B,1,Remote Small Fires
41.73861,-120.61028,8,22,1998,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
38.63594,-120.15219,10,6,2019,12,12,True,False,False,True,1,0.1,A,1,High-Risk Large Fires
60.45833,-149.99167,6,28,1998,12,12,True,False,True,False,11,0.1,A,4,Remote Small Fires
37.07611,-121.77389,10,31,1994,9,9,True,False,True,False,4,2.0,B,0,High-Risk Large Fires
36.29338,-120.2704,8,6,2010,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
40.04889,-122.05694,10,15,1996,9,9,True,False,True,False,12,0.3,B,4,Urban Wildfires
39.79389,-123.20111,7,5,2004,9,9,True,False,True,False,0,0.5,B,0,Remote Small Fires
44.08028,-114.86361,7,28,1994,12,12,True,False,False,True,6,0.1,A,1,Remote Small Fires
45.30624,-118.61608,11,3,1997,12,12,True,False,False,True,1,0.1,A,1,Remote Small Fires
33.99694,-117.18111,9,14,1998,9,9,True,False,True,False,0,5.0,B,0,High-Risk Large Fires
48.83152,-120.72122,8,7,1997,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
42.87239,-121.66907,7,2,1987,13,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
33.60389,-117.45611,6,7,2013,12,12,True,False,True,False,12,1.6,B,4,Urban Wildfires
46.73153,-114.4647,8,16,2022,12,12,True,False,False,True,9,0.1,A,1,Remote Small Fires
34.73139,-111.22361,7,21,2016,12,12,True,False,False,True,6,0.25,A,1,High-Risk Large Fires
46.88136,-113.036,9,7,2022,9,9,True,False,False,True,0,3.0,B,1,Remote Small Fires
41.37111,-122.39194,5,30,2003,9,9,True,False,True,False,3,0.2,A,0,Remote Small Fires
37.85513,-109.50466,8,3,1990,12,12,True,False,True,False,7,0.5,B,0,High-Risk Large Fires
41.86694,-123.99444,6,29,2015,12,12,True,False,True,False,12,0.7,B,4,Urban Wildfires
37.65639,-118.95722,8,9,2012,12,12,True,False,True,False,1,0.25,A,0,High-Risk Large Fires
35.26834,-111.69572,5,12,2000,12,12,True,False,True,False,1,0.5,B,0,High-Risk Large Fires
38.70694,-121.04889,8,15,1997,9,9,True,False,True,False,11,2.0,B,4,Urban Wildfires
37.45857,-120.81244,4,29,2011,9,9,True,False,True,False,12,0.01,A,4,Urban Wildfires
38.39139,-119.19889,7,15,2014,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
33.77034,-107.6058,5,27,2005,12,12,True,False,True,False,6,0.1,A,0,High-Risk Large Fires
33.46075,-109.27877,8,2,1986,12,12,True,False,True,False,6,0.3,B,0,High-Risk Large Fires
33.92611,-116.955,9,2,1996,9,9,True,False,True,False,4,0.1,A,0,High-Risk Large Fires
33.77306,-116.26889,7,19,2008,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
34.74169,-111.05339,7,29,2002,12,12,True,False,True,False,8,1.5,B,0,High-Risk Large Fires
42.2829,-119.95174,9,4,1991,1,1,True,False,True,False,6,0.1,A,3,Remote Small Fires
34.93769,-119.49211,8,3,2020,9,12,True,False,False,True,12,117.0,D,1,Urban Wildfires
38.17051,-120.8376,7,2,2010,9,9,True,False,True,False,12,0.2,A,4,Urban Wildfires
36.91806,-120.82806,4,28,1994,9,9,True,False,True,False,12,1.0,B,4,Urban Wildfires
39.21389,-123.21611,6,1,2001,9,9,True,False,True,False,4,0.2,A,0,Remote Small Fires
29.07833,-81.50166,9,26,1991,12,12,True,False,False,True,6,10.0,C,1,Frequent Small Fires
33.99694,-117.445,6,13,2003,9,9,True,False,True,False,12,1.5,B,4,Urban Wildfires
42.27071,-120.63469,7,8,2006,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
37.936,-119.8482,5,11,1997,8,8,True,False,True,False,6,0.2,A,0,High-Risk Large Fires
48.26722,-115.10611,1,1,2015,12,12,True,False,True,False,6,0.1,A,0,Remote Small Fires
38.87611,-121.10806,7,17,2004,9,9,True,False,True,False,12,0.5,B,4,Urban Wildfires
37.03306,-120.62611,8,9,1997,9,9,True,False,True,False,4,0.1,A,0,High-Risk Large Fires
